Course Code,Course Name,Default Category,Proposed Specific Category,File Count,Total Size (MB),Degree Programs,Academic Years,Sample Document Titles
C00M1A,Construction Law,Oefenzittingen,Oefenzittingen,39,12.45,Ma - Civil Engineering,2017 - 2018,Inleiding Tot Het Recht; Vraag 14 Af; Vraag 15 Af
C00M1A,Construction Law,Samenvattingen,Overig / Other,1,0.16,Ma - Architectuur,2022 - 2023,Begrippen Bouwrecht 2022 2023 Xan Decoutere
C00M1A,Construction Law,Samenvattingen,Samenvattingen,1,0.57,Ma - Architectuur,2020 - 2021,Samenvatting Bouwrecht Januari 2021
D0H36A,Innovation Management and Strategy,Samenvattingen,Samenvattingen,2,2.96,Ma - Biomedical Engineering,"2017 - 2018, 2018 - 2019",Key Notes On Management And Strategy; Samenvatting Volledig
D0H36A,Innovation Management and Strategy,Samenvattingen,Overig / Other,3,0.77,Ma - Biomedical Engineering,2017 - 2018,Reader Strategie Sv; Reader Deel1 Karenmarkey; Reader Deel2 Karenmarkey
D0I62A,Principles of Database Management,Oefenzittingen,Oefenzittingen,2,0.62,Ma - Biomedical Engineering,2022 - 2023,Assignment Pdbm Example; Pdbm Assignment 2022 2023 (2)
D0I69A,ICT Service Management,Samenvattingen,Overig / Other,2,5.34,"Ma - Algemeen vormende onderdelen, Ma - Biomedical Engineering",2021 - 2022,Ict Service Management Joris Guldentops; Ict Service Management Review Questions
D0I69A,ICT Service Management,Samenvattingen,Samenvattingen,1,6.89,Ma - Algemeen vormende onderdelen,2021 - 2022,Ict Service Management Samenvatting
D0I69A,ICT Service Management,Samenvattingen,Slides / Lesmateriaal,20,45.33,Ma - Algemeen vormende onderdelen,2021 - 2022,Exercises Lecture 1 Chapter 2 And 3; Exercises Lecture 1 Solutions; Exercises Lecture 2 Chapter 13
D0M14A,Marketing,Examens,Examens,10,14.68,"Ba - Bedrijfsbeheer, Ma - Algemeen vormende onderdelen, Ma - Mechanical Engineering","2006 - 2007, 2015 - 2016, 2017 - 2018, 2023 - 2024",Marketing Examenvragen (1e Bach Tew); Marketing Examenvragen Oplossingen (1e Bach Tew); Voorbeeldexamen (2007)
D0M14A,Marketing,Oefenzittingen,Oefenzittingen,2,0.04,"Ma - Algemeen vormende onderdelen, Ma - Mechanical Engineering",2012 - 2013,Vragen Marketing Tussentoets 2012 2013; Vragen Marketing Tussentoets 2012 2013
D0M14A,Marketing,Samenvattingen,Samenvattingen,8,94.34,"Ba - Bedrijfsbeheer, Ma - Algemeen vormende onderdelen, Ma - Mechanical Engineering","2017 - 2018, 2019 - 2020, 2021 - 2022",Cursushandleiding Marketing Hir; Inleiding Tot De Marketing (samenvatting); Marketing Samenvatting
D0M14A,Marketing,Samenvattingen,Overig / Other,13,6.94,"Ba - Bedrijfsbeheer, Ma - Algemeen vormende onderdelen, Ma - Mechanical Engineering","2008 - 2009, 2014 - 2015, 2017 - 2018",Marketing2013 Hoofdstuk 1; Marketing 2012 Compleet; Ims 4 Schumpeter And The Revival Of Evolutionary Economics2 (1)
D0M14A,Marketing,Samenvattingen,Slides / Lesmateriaal,2,60.95,Ba - Bedrijfsbeheer,2021 - 2022,Slides Bvl; Slides Duflou
D0M15A,Decision Making,Examens,Examens,4,3.11,"Ba - Bedrijfsbeheer, Ma - Mobility and Supply Chain Engineering","2013 - 2014, 2025 - 2026",Examenvragen; Examen 8 Januari 2026; Examenvragen
D0M15A,Decision Making,Oefenzittingen,Oefenzittingen,48,15.41,"Ba - Bedrijfsbeheer, Ma - Mobility and Supply Chain Engineering","2013 - 2014, 2018 - 2019, 2021 - 2022, 2025 - 2026",Exercise Session 6 Solutions; Exercise Session 7 Solutions; Exercise Session 8 Solutions
D0M15A,Decision Making,Samenvattingen,Samenvattingen,5,57.84,"Ba - Bedrijfsbeheer, Ma - Mobility and Supply Chain Engineering","2020 - 2021, 2021 - 2022",Samenvatting Ddm (silke Van Poeyer); Samenvatting Sdm (silke Van Poeyer); Overzicht Decision Making (winston) Kevin Vandeputte
D0M15A,Decision Making,Samenvattingen,Slides / Lesmateriaal,26,7.26,"Ba - Bedrijfsbeheer, Ma - Mobility and Supply Chain Engineering",2013 - 2014,Hoofdstuk 1 En 3 Inleiding (45p); Hoofdstuk 17 Markovketens (19p); Hoofdstuk 18 Deterministisch Dynamisch Programmeren (26p)
D0M18A,Human resource management,Examens,Examens,7,2.81,Ba - Bedrijfsbeheer,"2019 - 2020, 2020 - 2021, 2021 - 2022",Examen Hrm Juni 2022 Tew; Examen Human Resource Management 2021; Examen Human Resource Management Juni 2022
D0M18A,Human resource management,Samenvattingen,Slides / Lesmateriaal,1,28.54,Ba - Bedrijfsbeheer,2021 - 2022,Slides Hrm
D0M18A,Human resource management,Samenvattingen,Samenvattingen,5,18.83,Ba - Bedrijfsbeheer,"2019 - 2020, 2021 - 2022, 2022 - 2023, 2024 - 2025",Hrm Kort Overzicht Kevin Vandeputte; Samenvatting Hrm (2025 Emiel Eyckens); Samenvatting Hrm Karl Polak
D0R18A,Project Management and Scheduling,Examens,Examens,3,1.47,Ma - Mobility and Supply Chain Engineering,"2012 - 2013, 2019 - 2020, 2020 - 2021",Exam 2013; Exam 2020; Exam 2021
D0R18A,Project Management and Scheduling,Oefenzittingen,Verslagen & Projecten,23,202.31,Ma - Mobility and Supply Chain Engineering,"2021 - 2022, 2022 - 2023","Pmas Overview (abbreviations, Definitions) Silke Van Poeyer; Pmas Summary Silke Van Poeyer; Pmas Session 1"
D0S92A,Operations Strategy in Manufacturing and Services,Examens,Examens,2,1.02,Ma - Mobility and Supply Chain Engineering,"2013 - 2014, 2016 - 2017",Exam 2014; Exam 2017
D0S92A,Operations Strategy in Manufacturing and Services,Oefenzittingen,Oefenzittingen,7,0.52,Ma - Mobility and Supply Chain Engineering,2022 - 2023,1 Swiss Watch Industry; 2 Strategy Under Uncertainty; 3 Timing Of It Expansions
D0S92A,Operations Strategy in Manufacturing and Services,Samenvattingen,Overig / Other,1,0.14,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Osms Overview 2022 2023 Silke Van Poeyer
D0S92A,Operations Strategy in Manufacturing and Services,Samenvattingen,Samenvattingen,1,33.13,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Osms Summary 2022 2023 Silke Van Poeyer
D0S92A,Operations Strategy in Manufacturing and Services,Samenvattingen,Slides / Lesmateriaal,11,153.21,Ma - Mobility and Supply Chain Engineering,2022 - 2023,0 Dea; 1 Concepts And Frameworks; 2 Swiss Watch Discussion
D0S99A,Applied Optimization,Oefenzittingen,Oefenzittingen,6,0.89,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Davari 1; Davari 2; Davari 4
D0S99A,Applied Optimization,Samenvattingen,Overig / Other,2,0.5,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Overview Models Luca Roba; Overview: Abbreviations & Definitions (no Davari) Silke Van Poeyer
D0S99A,Applied Optimization,Samenvattingen,Samenvattingen,1,17.81,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Summary (no Davari) Silke Van Poeyer
D0S99A,Applied Optimization,Samenvattingen,Slides / Lesmateriaal,11,96.87,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Davari 1 Layout Problem; Davari 2&3 Gate Assignment; Davari 4 Scheduling With Inventory
DENTAL,"Comparative Analysis of Microstructure, Hardness, and Fracture Toughness in Commercially Available Dental Ceramics presentation.pdf",Samenvattingen,Overig / Other,2,3.9,Ma - Materials Engineering,2025 - 2026,"Comparative Analysis Of Microstructure, Hardness, And Fracture Toughness In Commercially Available Dental Ceramics Presentation; Comparative Analysis Of Microstructure, Hardness, And Fracture Toughness In Commercially Available Dental Ceramics 1 2"
G0B01A,Intellectual Property Management,Examens,Examens,7,6.56,"Ma - Algemeen vormende onderdelen, Ma - Biomedical Engineering, Ma - Mechanical Engineering","2020 - 2021, 2022 - 2023",Exam Questions Answered Intellectual Property Management Dennis Jouhannet; Ipm Examen 24 Juni 2023; Ipm Examen 6 Juni 2023
G0B01A,Intellectual Property Management,Oefenzittingen,Oefenzittingen,4,1.09,"Ma - Algemeen vormende onderdelen, Ma - Mechanical Engineering","2018 - 2019, 2019 - 2020",Typevragen 2019; Typevragen 2020; Typevragen 2019
G0B01A,Intellectual Property Management,Samenvattingen,Overig / Other,7,43.21,"Ma - Algemeen vormende onderdelen, Ma - Mechanical Engineering","2022 - 2023, 2023 - 2024, 2025 - 2026",Begrippen 2023 Silke Van Poeyer; Overview 2023 Silke Van Poeyer; 2023 Begrippen Silke Van Poeyer
G0B01A,Intellectual Property Management,Samenvattingen,Samenvattingen,1,21.19,Ma - Algemeen vormende onderdelen,2023 - 2024,Samenvatting Rechtintellectueleeigendom (lukasvandenbroeck)
G0B01A,Intellectual Property Management,Samenvattingen,Slides / Lesmateriaal,11,80.34,Ma - Algemeen vormende onderdelen,2022 - 2023,1 Inleiding Tot Het Recht; 2 Vrijheid Van Mededingen & 3 1 Ier Algemeen; 3 2 Auteursrecht
G0G71A,Physical Chemistry of Biological Systems,Samenvattingen,Samenvattingen,1,0.02,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,Summary
G0K32A,Requirements Engineering for Complex Software Systems,Samenvattingen,Overig / Other,22,9.24,Ma - Computer Science,"2019 - 2020, 2021 - 2022",Ocl Externe Course; Benaouda Szabo Vanleuven Versavel; Claes Tona
G0K32A,Requirements Engineering for Complex Software Systems,Samenvattingen,Slides / Lesmateriaal,10,53.66,Ma - Computer Science,"2019 - 2020, 2021 - 2022",Ocl Externe Slides; Introduction(1); Ocl(1)
G0P08C,Topografie,Samenvattingen,Overig / Other,1,0.28,Ba - Bouwkunde,2017 - 2018,Hoofdstuk Opmetingsmethodes Landmeetkundecompthuis
G0P08C,Topografie,Samenvattingen,Slides / Lesmateriaal,2,5.26,Ba - Bouwkunde,2017 - 2018,Presentatie De Theodoliet2011 [compatibiliteitsmodus]; Presentatie Meten Van Hoeken [compatibiliteitsmodus]
G0Q35A,Besturingssystemen,Examens,Examens,6,2.65,Ba - Computerwetenschappen,"2017 - 2018, 2018 - 2019, 2021 - 2022, 2023 - 2024, 2024 - 2025",Besturingssystemen Examenvragen; Corona Modeloplossing Examenoef2022; Examenvragen 2019 Md
G0Q35A,Besturingssystemen,Oefenzittingen,Oefenzittingen,10,0.82,Ba - Computerwetenschappen,2017 - 2018,Session1; Session2; Sol Os2
G0Q35A,Besturingssystemen,Samenvattingen,Samenvattingen,14,64.93,Ba - Computerwetenschappen,"2017 - 2018, 2021 - 2022, 2023 - 2024, 2024 - 2025, 2025 - 2026",Os Flashcards; Belangrijke Woordjes Operating Systems Alexander Dubois; Cs 111 Summaries(heeft Niet Alle Leerstof Maar Is Wel Goed)
G0Q35A,Besturingssystemen,Samenvattingen,Overig / Other,10,1.66,Ba - Computerwetenschappen,"2017 - 2018, 2024 - 2025",Concurrent Accounts; Concurrent Queues; Mprotect
G0Q35A,Besturingssystemen,Samenvattingen,Slides / Lesmateriaal,21,45.2,Ba - Computerwetenschappen,2017 - 2018,Ch01; Ch02; Ch03
G0Q43A,Computernetwerken,Examens,Examens,11,10.22,Ba - Computerwetenschappen,"2012 - 2013, 2015 - 2016, 2018 - 2019, 2021 - 2022, 2022 - 2023",Cn Examquestions Bank (golfperson); Cn Openboekvragen; Exam Computer Networks 13 06 2022
G0Q43A,Computernetwerken,Oefenzittingen,Oefenzittingen,24,7.65,Ba - Computerwetenschappen,"2012 - 2013, 2013 - 2014, 2024 - 2025, 2025 - 2026",Ns Simulator For Beginners Searchable; Internet Lab Test 2025; Labtest 20 03 2026
G0Q43A,Computernetwerken,Oefenzittingen,Labo & Code,9,0.02,Ba - Computerwetenschappen,2012 - 2013,Chatserver; Chatservermain; Clientconnection
G0Q43A,Computernetwerken,Samenvattingen,Overig / Other,8,30.97,Ba - Computerwetenschappen,"2012 - 2013, 2013 - 2014, 2019 - 2020, 2020 - 2021, 2022 - 2023",10mb; Cn Abbreviations (ryan De Koninck); Cn Termen Md
G0Q43A,Computernetwerken,Samenvattingen,Samenvattingen,5,54.95,Ba - Computerwetenschappen,"2017 - 2018, 2021 - 2022, 2023 - 2024, 2024 - 2025",Cn Samenvatting Ellenanthonissen; Computer Networks Studentencursus Jasper Visterin; Computernetworks All You Need To Know Hadriennobels
G0Q43A,Computernetwerken,Samenvattingen,Slides / Lesmateriaal,70,407.34,Ba - Computerwetenschappen,"2012 - 2013, 2013 - 2014, 2014 - 2015, 2015 - 2016, 2018 - 2019",Alle Slides Cn 2022; 0 2013 Contents; All Slides 2013 Enkel
G0U12B,Historical and Social Aspects of Physics,Samenvattingen,Slides / Lesmateriaal,1,2.06,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,Historical Lecture Notes Senne Vervoort
G0U12B,Historical and Social Aspects of Physics,Samenvattingen,Samenvattingen,1,2.17,"Ma - Nanoscience, -technology and -engineering",2025 - 2026,History Notes
G9X25A,Molecular Photonics,Samenvattingen,Overig / Other,3,6.54,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,L06; L08; Molecular Photonics
G9X25A,Molecular Photonics,Samenvattingen,Slides / Lesmateriaal,11,138.46,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,Recording L02a; Recording L02b; Recording L02c
GLOBAL,Global and environmental politics,Samenvattingen,Slides / Lesmateriaal,1,37.21,Ma - Energy,2019 - 2020,Slides 2019 2020
H00B4A,Materials Modelling for Forming Process Simulations,Oefenzittingen,Verslagen & Projecten,1,0.46,Ma - Materials Engineering,2023 - 2024,January 2024
H00B4A,Materials Modelling for Forming Process Simulations,Oefenzittingen,Oefenzittingen,9,2.67,Ma - Materials Engineering,2023 - 2024,Mm Chapter 3 Exercise 1 With Solution(1) 2; Mm Chapter 3 Exercise 1(2) 2; Mm Chapter 3 Exercise 2(2) 2
H00B4A,Materials Modelling for Forming Process Simulations,Samenvattingen,Samenvattingen,1,0.76,Ma - Materials Engineering,2023 - 2024,Mm Formulas 2324
H00D3A,Advanced Metal Processing & Case Studies,Examens,Examens,2,44.98,Ma - Materials Engineering,2022 - 2023,Exam Questions Part 2 Marion Cardous; Exam Questions
H00D3A,Advanced Metal Processing & Case Studies,Oefenzittingen,Oefenzittingen,1,12.62,Ma - Materials Engineering,2022 - 2023,Exercises Part 1 Marion Cardous
H00D3A,Advanced Metal Processing & Case Studies,Samenvattingen,Overig / Other,11,10.06,Ma - Materials Engineering,"2022 - 2023, 2025 - 2026",Bijlage Amp; Commonly Arising Textures And Their Appearance In Pole Figures; Ipfs
H00D5B,Ceramics and Powder Metallurgy,Examens,Examens,1,36.71,Ma - Materials Engineering,2022 - 2023,Oud Examenvragen Ceramics Marion Cardous
H00D5B,Ceramics and Powder Metallurgy,Oefenzittingen,Oefenzittingen,1,0.95,Ma - Materials Engineering,2022 - 2023,Exercises & Solutions 2023
H00D5B,Ceramics and Powder Metallurgy,Samenvattingen,Samenvattingen,5,11.77,Ma - Materials Engineering,"2023 - 2024, 2024 - 2025, 2025 - 2026",Ceramics And Powder Metallurgy Summary; Keramische Materialen; Methods For Making Different Starting Powders
H00K1A,Engineering Economy,Examens,Examens,2,3.61,"Ma - Mobility and Supply Chain Engineering, Schakel - Werktuigkunde","2019 - 2020, 2022 - 2023",Ee Theorie Examenvragen; Ee Previous Theoretical Exam Questions (7th Edition)
H00K1A,Engineering Economy,Oefenzittingen,Oefenzittingen,7,25.56,"Ma - Mechanical Engineering, Ma - Mobility and Supply Chain Engineering, Schakel - Werktuigkunde","2017 - 2018, 2018 - 2019, 2022 - 2023","Engineering Economy Leland Blank, Anthony Tarquin 7ed Instructor S Solution Manual; Engineering Economy Exercise Sessions Lars Wouters; Instructor's Solution Manual"
H00K1A,Engineering Economy,Samenvattingen,Slides / Lesmateriaal,2,74.25,"Ma - Mechanical Engineering, Schakel - Werktuigkunde","2018 - 2019, 2022 - 2023",Engineeringeconomy Slides Wr; Engineering Economy Slides 2022 2023
H00K1A,Engineering Economy,Samenvattingen,Samenvattingen,4,12.45,"Ma - Mechanical Engineering, Schakel - Werktuigkunde","2018 - 2019, 2022 - 2023",Engineering Economy Wr Uitgetypt; Engineering Economy Wr; Samenvatting (wim Van Roy)
H00K1A,Engineering Economy,Samenvattingen,Overig / Other,3,16.7,"Ma - Mechanical Engineering, Ma - Mobility and Supply Chain Engineering","2017 - 2018, 2022 - 2023, 2023 - 2024","Engineering Economy, 7th Ed; Engineering Economy Mcq 7th Edition; Ee Overview (abbreviations, Formulas, Definitions) 2022 2023 Silke Van Poeyer"
H00M8B,Intelligent Transportation Systems,Examens,Examens,3,1.37,Ma - Mobility and Supply Chain Engineering,"2020 - 2021, 2021 - 2022, 2022 - 2023",Exam 2021 Tibor Barabas; Exam Questions Stijn Tonnelier; Exam Questions Tibor Barabas
H00M8B,Intelligent Transportation Systems,Samenvattingen,Samenvattingen,1,19.23,Ma - Mobility and Supply Chain Engineering,2020 - 2021,Summary 2021 Stijn Tonnelier
H00M8B,Intelligent Transportation Systems,Samenvattingen,Slides / Lesmateriaal,14,125.38,Ma - Mobility and Supply Chain Engineering,2022 - 2023,1 Its Introduction; 3 Detector Data To Traffic State Information; 4a Traffic Management And Control
H00N6A,Total Quality Management,Samenvattingen,Samenvattingen,16,23.72,Schakel - Werktuigkunde,2018 - 2019,Wp 20150529 001; Wp 20150529 002; Wp 20150529 003
H00P3A,Smart Distribution Systems,Examens,Examens,2,16.95,Ma - Energy,"2013 - 2014, 2015 - 2016",Answers Old Exam Questions; Jorn Answers Old Exam Questions
H00P3A,Smart Distribution Systems,Oefenzittingen,Verslagen & Projecten,2,1.3,Ma - Energy,2019 - 2020,Report Energyville Labsession; Report Neural Network To Forecast Electricity Price
H00P3A,Smart Distribution Systems,Samenvattingen,Overig / Other,23,1049.03,Ma - Energy,"2011 - 2012, 2013 - 2014, 2015 - 2016, 2019 - 2020, 2025 - 2026","Sgam (2025 2026, Ief); Smart Distribution 1 1; Smart Distribution 1 2"
H00P3A,Smart Distribution Systems,Samenvattingen,Samenvattingen,1,5.7,Ma - Energy,1999 - 2000,Smart Distribution Systems Md
H00P3A,Smart Distribution Systems,Samenvattingen,Slides / Lesmateriaal,3,2.69,Ma - Energy,2015 - 2016,Extra Slide 1; Extra Slide 2; Extra Slide 3
H00S5A,Next Generation Biomaterials,Examens,Examens,1,0.29,Ma - Materials Engineering,2025 - 2026,Next Generation Biomaterials Exam Questions
H00S5A,Next Generation Biomaterials,Samenvattingen,Overig / Other,2,4.24,Ma - Materials Engineering,2025 - 2026,Overview Part 1 Annelien Eyskens; Next Generation Biomaterials Text For The Presentation
H00S5A,Next Generation Biomaterials,Samenvattingen,Slides / Lesmateriaal,1,4.46,Ma - Materials Engineering,2024 - 2025,3d Bioprinting Of Mesenchymal Stem Cells With Osteoinductive Alginate–bmp 2–plga Bioink For Bone Tissue Engineering Ngb Elisabeth Isebaert 2025
H01A0A,Ingenieur en bouwkunst,Samenvattingen,Overig / Other,2,3.44,Ma - Civil Engineering,"2018 - 2019, 2021 - 2022",Ingenieur & Bouwkunst Neyrinck Oscar; Tiny Houses Arthur Rohaert
H01A0B,"Analyse, deel 1",Examens,Examens,66,35.27,"Ba - Algemene gemeenschappelijke basis, Ba - Architectuur","2010 - 2011, 2011 - 2012, 2017 - 2018, 2018 - 2019",Examenoefeningen In De Oefbundel; Examen 2019 01 28 Blanco; Examen 2019 01 28 Oplossing
H01A0B,"Analyse, deel 1",Oefenzittingen,Oefenzittingen,122,156.08,"Ba - Algemene gemeenschappelijke basis, Ba - Architectuur","2009 - 2010, 2011 - 2012, 2014 - 2015, 2016 - 2017, 2017 - 2018",Oefeningen Analyse1 (lukasvandenbroeck); Theorievragen Analyse 1; Handleiding Oefeningen 2016 2017 (tibo Geenen)
H01A0B,"Analyse, deel 1",Samenvattingen,Overig / Other,4,1.54,"Ba - Algemene gemeenschappelijke basis, Ba - Architectuur","2017 - 2018, 2018 - 2019, 2020 - 2021",Studiewijzer Analyse I 2020 2021; Analyseoef4; Gids Voor Eerstejaars 2020 2021 (jasper Vis)
H01A0B,"Analyse, deel 1",Samenvattingen,Samenvattingen,17,155.48,"Ba - Algemene gemeenschappelijke basis, Ba - Architectuur","2009 - 2010, 2016 - 2017, 2017 - 2018, 2021 - 2022, 2023 - 2024",Nuttige Taylorveeltermen (riet Van Puyenbroeck); Samenvatting & Formules 2016 2017 (arthur Stockman); Samenvatting 2009 2010 (laurens De Poorter)
H01A0B,"Analyse, deel 1",Samenvattingen,Slides / Lesmateriaal,9,1.35,Ba - Algemene gemeenschappelijke basis,2011 - 2012,Limiet; Oefz1; Oefz2
H01A0B,"Analyse, deel 1",TTT's,TTT's,21,3.85,Ba - Algemene gemeenschappelijke basis,"2005 - 2006, 2006 - 2007, 2007 - 2008, 2008 - 2009, 2009 - 2010",Ttt 2006 Opgaven; Ttt 2006 Oplossing; Ttt 2007 Opgaven
H01A2B,"Analyse, deel 2",Examens,Examens,65,47.61,Ba - Algemene gemeenschappelijke basis,"2011 - 2012, 2012 - 2013, 2017 - 2018, 2018 - 2019, 2019 - 2020","Gevraagde Theorie; Matlab Examen Analyse (tot 2026, Sverre Van Mullem, Ai); Schriftelijk Examen Analyse (tot 2026, Sverre Van Mullem, Ai)"
H01A2B,"Analyse, deel 2",Oefenzittingen,Oefenzittingen,138,215.14,"Ba - Algemene gemeenschappelijke basis, Ba - Architectuur","2009 - 2010, 2010 - 2011, 2011 - 2012, 2012 - 2013, 2016 - 2017",Oplossing Oefening 7 3; Oplossing Oefening 7 4; Oplossing Oefenzitting 1
H01A2B,"Analyse, deel 2",Samenvattingen,Samenvattingen,30,310.23,"Ba - Algemene gemeenschappelijke basis, Ba - Architectuur","2010 - 2011, 2011 - 2012, 2015 - 2016, 2016 - 2017, 2018 - 2019","Alle Bewijzen (hanna Leysen, 2024 2025); Analytisch Rekenen Samenvatting; Bewijzen Analyse 2"
H01A4A,Natuurkunde 1 (prof Indekeu,Examens,Examens,5,11.78,Ba - Architectuur,"2013 - 2014, 2019 - 2020, 2020 - 2021",Examenvragenenoplossingen2013 2014; Oefenzittingen Aanvullingen Natuurkunde 2019 2020 (1); Oplossing Van De Theorievraag Over Dauwpunt
H01A4A,Natuurkunde 1 (prof Indekeu,Oefenzittingen,Oefenzittingen,14,111.23,Ba - Architectuur,"2019 - 2020, 2020 - 2021",Aanvullingen Natuurkunde Bachelor Architectuur Oefenreeks 1(4); Aanvullingen Natuurkunde Bachelor Architectuur Oefenreeks 2(3); Aanvullingen Natuurkunde Bachelor Architectuur Oefenreeks 3(1)
H01A4A,Natuurkunde 1 (prof Indekeu,Samenvattingen,Overig / Other,7,116.01,Ba - Architectuur,"2016 - 2017, 2017 - 2018, 2020 - 2021, 2025 - 2026",12 06 2017 Namiddag; Ex 2bach Bar 12 6 09 Nm; Navier Stokes 2017
H01A4A,Natuurkunde 1 (prof Indekeu,Samenvattingen,Samenvattingen,15,211.47,Ba - Architectuur,"2019 - 2020, 2020 - 2021",Handboek; Aanvullende Natuurkunde; Aanvullingen Natuurkunde Deel 2
H01A4B,Toegepaste algebra,Examens,Examens,47,45.37,Ba - Algemene gemeenschappelijke basis,"2002 - 2003, 2006 - 2007, 2007 - 2008, 2008 - 2009, 2009 - 2010",Examen 2006 02 03 Oplossing Vraag 1; Examen 2006 02 03 Oplossing Vraag 2; Examen 2006 02 03 Oplossing Vraag 3
H01A4B,Toegepaste algebra,Oefenzittingen,Oefenzittingen,16,77.4,Ba - Algemene gemeenschappelijke basis,"2010 - 2011, 2011 - 2012, 2020 - 2021, 2021 - 2022, 2023 - 2024",2020 2021 Oplossingen Oefenzittingen; Algebra Matlaboefenzitting 1 En 2; Oplossing Oef 6 3 (daniël Slenders)
H01A4B,Toegepaste algebra,Samenvattingen,Overig / Other,5,4.16,Ba - Algemene gemeenschappelijke basis,"2011 - 2012, 2024 - 2025",Svd History; Svd Siam Blockbuster; Voorbeeld Swo Van 2x2 Matrix
H01A4B,Toegepaste algebra,Samenvattingen,Samenvattingen,106,536.46,Ba - Algemene gemeenschappelijke basis,"2009 - 2010, 2011 - 2012, 2015 - 2016, 2016 - 2017, 2019 - 2020",Algebra Samenvatting 24 25; Algebra Samenvatting Systemen; Algebra Synthese (aurian Baudhuin)
H01A8A,Algemene en technische scheikunde,Examens,Examens,28,17.27,"Ba - Algemene gemeenschappelijke basis, Ba - Architectuur","2009 - 2010, 2010 - 2011, 2011 - 2012, 2014 - 2015, 2016 - 2017",Examenvragen Chemie; Examenvragen Chemie; Oplossing Examenvraag P38 B
